"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.838391870E-1,3.300803900E-2,1.034207456E-2,-2.113380469E-2
5.863246200E-1,3.960298747E-2,1.653732732E-2,-2.593012899E-2
5.888191270E-1,4.859609529E-2,2.284915745E-2,-3.150918707E-2
5.913138370E-1,5.652335286E-2,2.944410406E-2,-3.588916361E-2
5.937883650E-1,6.325153261E-2,3.710490093E-2,-4.295042157E-2
5.963041530E-1,6.904708594E-2,4.236753285E-2,-4.906240478E-2
5.987995140E-1,7.562538236E-2,4.816309363E-2,-5.464146286E-2
6.012690780E-1,7.900612801E-2,5.370884389E-2,-6.153617799E-2
6.037644390E-1,8.157082647E-2,5.753923953E-2,-6.684877723E-2
6.062701760E-1,8.533460647E-2,6.123640761E-2,-7.057924569E-2
6.087538190E-1,8.575095236E-2,6.333480030E-2,-7.680781186E-2
6.112747340E-1,8.615064621E-2,6.373449415E-2,-7.814012468E-2
6.137288350E-1,8.548448980E-2,6.491692364E-2,-8.263667673E-2
6.162645610E-1,8.358594775E-2,6.226895005E-2,-8.250344545E-2
6.187439720E-1,8.330283314E-2,5.960432440E-2,-8.262002468E-2
6.212546320E-1,8.300305903E-2,5.547415838E-2,-8.208709955E-2
6.237504820E-1,8.042170852E-2,5.001167580E-2,-8.258671314E-2
6.262219990E-1,7.770711929E-2,4.563169926E-2,-8.112116903E-2
6.287399440E-1,7.484264672E-2,3.792094067E-2,-8.122109622E-2
6.312207780E-1,7.077909261E-2,3.142591938E-2,-7.988878340E-2
6.337299340E-1,6.736504287E-2,2.331546694E-2,-7.760719955E-2
6.362253770E-1,6.090332940E-2,1.590447873E-2,-7.585853338E-2
6.386966080E-1,5.590716004E-2,8.743300103E-3,-7.266099006E-2
6.412147560E-1,5.142725632E-2,5.162710440E-4,-7.209475338E-2
6.436863140E-1,4.446592554E-2,-1.682044356E-3,-6.838092953E-2
6.462050310E-1,3.865371272E-2,-9.909073822E-3,-6.716519594E-2
6.487008400E-1,3.419046476E-2,-1.600440219E-2,-6.554976851E-2
6.511953880E-1,2.881125547E-2,-2.101722732E-2,-6.235222146E-2
6.536911150E-1,2.249942534E-2,-2.538055182E-2,-6.300172210E-2
6.561628760E-1,1.741998456E-2,-2.637978457E-2,-5.955436453E-2
6.586803330E-1,1.165773347E-2,-2.726244181E-2,-5.822205171E-2
6.611759790E-1,6.861408707E-3,-2.736236528E-2,-5.637346953E-2
6.636303240E-1,1.532159280E-3,-2.558039874E-2,-5.770577863E-2
6.661653180E-1,-3.364088712E-3,-2.006795444E-2,-5.572396517E-2
6.686288600E-1,-8.526799269E-3,-1.482197549E-2,-5.627354607E-2
6.711300800E-1,-1.513839979E-2,-7.444295567E-3,-5.695635453E-2
6.736514830E-1,-1.933518425E-2,2.065084176E-3,-5.763916299E-2
6.761453390E-1,-2.379843034E-2,1.170769520E-2,-5.807216465E-2
6.786411480E-1,-2.759552002E-2,1.986810938E-2,-5.955436453E-2
6.810975690E-1,-2.764548175E-2,3.200880438E-2,-6.196917966E-2
6.836305280E-1,-2.676282451E-2,4.093529657E-2,-6.133633107E-2
6.861260520E-1,-2.106718905E-2,5.169371888E-2,-6.323487312E-2
6.885952090E-1,-1.378943305E-2,5.963763222E-2,-6.471707672E-2
6.911159200E-1,-4.496554378E-3,6.823104620E-2,-6.633250415E-2
6.936334990E-1,8.510145359E-3,7.267764211E-2,-6.463380158E-2
6.961057070E-1,2.110049687E-2,7.804019749E-2,-6.596611440E-2
6.986013940E-1,3.449023515E-2,8.113782108E-2,-6.571631134E-2
7.010706330E-1,4.614796862E-2,8.438533545E-2,-6.440065056E-2
7.035655050E-1,6.018721312E-2,8.573430032E-2,-6.375114620E-2
7.060689230E-1,7.021286339E-2,8.713322878E-2,-6.203579530E-2
7.085559430E-1,7.902278006E-2,8.520137519E-2,-6.176933274E-2
7.110763280E-1,8.570099622E-2,8.383575827E-2,-5.712289363E-2
7.135453640E-1,8.928158134E-2,8.033843338E-2,-5.434169248E-2
7.160657500E-1,9.111351520E-2,7.569199800E-2,-4.756355286E-2
7.185393000E-1,8.881527185E-2,7.092898339E-2,-4.198449478E-2
7.210305520E-1,8.503483981E-2,6.496687979E-2,-3.508977592E-2
7.235522400E-1,7.710757852E-2,5.920463055E-2,-2.617993765E-2
7.260438180E-1,6.543318927E-2,5.211006850E-2,-1.900210604E-2
7.285412540E-1,5.217668414E-2,4.626454785E-2,-9.326186962E-3
7.310110210E-1,3.622224182E-2,3.802086413E-2,-1.498851489E-4
7.335315290E-1,2.016787790E-2,3.444027528E-2,7.943912409E-3
7.360272160E-1,7.660796400E-4,2.916098759E-2,1.643740386E-2
7.384984480E-1,-1.848583482E-2,2.626320720E-2,2.374846861E-2
7.410162710E-1,-3.680513054E-2,2.363189124E-2,2.997702919E-2
7.434688250E-1,-5.683977902E-2,2.381508425E-2,3.620558977E-2
7.460065450E-1,-7.417649031E-2,2.716251835E-2,3.858709708E-2
7.485019070E-1,-8.978120238E-2,3.011026047E-2,4.016921669E-2
7.509966170E-1,-1.037538275E-1,3.475669771E-2,4.148487747E-2
7.534923850E-1,-1.171935275E-1,4.153483734E-2,4.133499041E-2
7.559635360E-1,-1.259701401E-1,4.706393555E-2,3.840390593E-2
7.584817250E-1,-1.348300129E-1,5.780570209E-2,3.518969938E-2
7.609767190E-1,-1.362289488E-1,6.661561877E-2,3.304134682E-2
7.634718370E-1,-1.373780668E-1,7.420980185E-2,2.757886611E-2
7.659671580E-1,-1.366452873E-1,8.218701929E-2,2.358192950E-2
7.684411560E-1,-1.319155842E-1,9.054727852E-2,1.905206777E-2
7.709561710E-1,-1.247710586E-1,9.794161469E-2,1.665390469E-2
7.734521430E-1,-1.168437973E-1,1.032042503E-1,1.410585735E-2
7.759396910E-1,-1.078506857E-1,1.088665724E-1,1.144123264E-2
7.784423360E-1,-9.819142520E-2,1.143790185E-1,8.643376641E-3
7.809121450E-1,-8.719984442E-2,1.180262268E-1,7.311064284E-3
7.834322860E-1,-7.770711929E-2,1.196749583E-1,5.312595516E-3
7.859278100E-1,-6.861408800E-2,1.207907721E-1,2.514739521E-3
