"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.784407160E-1,5.091098696E-2,1.293342263E-1,-4.661427811E-2
5.809302580E-1,4.035241157E-2,1.133964360E-1,-4.881259426E-2
5.834315200E-1,3.139261156E-2,9.637615085E-2,-4.982848465E-2
5.858858250E-1,2.095061168E-2,7.963897288E-2,-5.227660760E-2
5.884204520E-1,1.169104129E-2,5.955436453E-2,-5.340907350E-2
5.909154470E-1,1.798621728E-3,4.256737977E-2,-5.309264734E-2
5.934084900E-1,-7.677450310E-3,2.701263316E-2,-5.449157581E-2
5.959057630E-1,-1.806948707E-2,1.455551293E-2,-5.419180542E-2
5.983631600E-1,-2.549712919E-2,4.746363033E-3,-5.269295350E-2
6.008957940E-1,-3.424042836E-2,-2.381508471E-3,-5.161045119E-2
6.033901380E-1,-4.293376580E-2,-3.513973905E-3,-5.054460093E-2
6.058594580E-1,-4.921228811E-2,-4.246745724E-3,-4.856278747E-2
6.083801290E-1,-5.532427132E-2,-4.663093423E-4,-4.631450772E-2
6.108499370E-1,-5.845520645E-2,8.660030551E-3,-4.210107028E-2
6.133697930E-1,-6.145291030E-2,1.775306277E-2,-4.200114682E-2
6.158648290E-1,-6.253541261E-2,3.057656996E-2,-3.978617862E-2
6.183274350E-1,-6.201914325E-2,4.379976913E-2,-3.638878092E-2
6.208550630E-1,-5.988744274E-2,5.993740261E-2,-3.537289426E-2
6.233245050E-1,-5.509111658E-2,7.244448364E-2,-3.304134682E-2
6.258443210E-1,-4.989510030E-2,8.668357134E-2,-3.229192272E-2
6.283393160E-1,-4.230091721E-2,9.970692545E-2,-3.047664650E-2
6.308257260E-1,-3.299138695E-2,1.112647355E-1,-2.694601752E-2
6.333295510E-1,-2.314892784E-2,1.213236973E-1,-2.578024380E-2
6.357985450E-1,-1.092496142E-2,1.291177273E-1,-2.236619405E-2
6.383190930E-1,-1.998468651E-4,1.338474303E-1,-2.198315412E-2
6.408146580E-1,1.132465526E-2,1.358958632E-1,-2.013457008E-2
6.432836120E-1,2.321554348E-2,1.363288611E-1,-1.921860687E-2
6.458045670E-1,2.972722054E-2,1.325484216E-1,-1.960164681E-2
6.482733170E-1,3.838725016E-2,1.300669909E-1,-2.065084130E-2
6.507938250E-1,4.419946298E-2,1.221397370E-1,-2.181661502E-2
6.532886970E-1,5.131068081E-2,1.108650416E-1,-2.443127893E-2
6.557587910E-1,5.389203504E-2,1.010892019E-1,-2.732905746E-2
6.582532160E-1,5.698966235E-2,8.811581135E-2,-3.019353002E-2
6.607481290E-1,5.712289363E-2,7.354364544E-2,-3.452354297E-2
6.632426370E-1,5.354230478E-2,5.955436453E-2,-3.767113388E-2
6.657378760E-1,5.032810196E-2,4.449923337E-2,-4.106852785E-2
6.682344180E-1,4.205111042E-2,2.892783284E-2,-4.444927350E-2
6.707529310E-1,3.535623848E-2,1.217400469E-2,-4.611466080E-2
6.732229020E-1,2.534724399E-2,-2.298238920E-3,-4.766347632E-2
6.757432070E-1,1.613763347E-2,-1.705359854E-2,-5.106087402E-2
6.782380790E-1,4.130168352E-3,-3.042668477E-2,-4.956202209E-2
6.807330340E-1,-5.595711991E-3,-4.290045798E-2,-5.004498363E-2
6.832283950E-1,-1.598774828E-2,-5.509111658E-2,-5.052794889E-2
6.857020280E-1,-2.526397444E-2,-6.276856363E-2,-5.129402503E-2
6.881944600E-1,-3.493989259E-2,-6.949674338E-2,-5.154383555E-2
6.906877870E-1,-4.168472439E-2,-7.650803775E-2,-5.072779581E-2
6.932081310E-1,-4.773009196E-2,-8.072147518E-2,-5.004498363E-2
6.956953950E-1,-5.069448799E-2,-8.403560519E-2,-5.029479414E-2
6.981980810E-1,-5.270960927E-2,-8.535125852E-2,-4.989510030E-2
